sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,gt_release_date_masked,gt_hard_dropped,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
3664db63-1623-4ae7-9910-dd8bc3c2bd83::t1,POS_exact_entity_success_control,positive_control,all_candidate_plus_targeted_v4_state_features,No Scrubs,TLC,1,1,1,bm25,33,False,False,True,True,True,True,True,True,True,True,True,True
7b550636-72fe-490e-ad38-a1912d08449f::t1,POS_exact_entity_success_control,positive_control,all_candidate_plus_targeted_v4_state_features,Believe,Cher,2,2,1,bm25,33,False,False,True,True,True,True,True,True,True,True,True,True
737a65cf-9c45-4b1d-910d-2f1f1ef5eab7::t8,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Feel Good Inc,Gorillaz,1,1,1,lookup.resolved_artist_discography,41,False,False,True,True,True,True,True,True,True,True,True,True
4a02d862-623b-4fab-a42c-2905f31a96db::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Dreams - 2004 Remaster,Fleetwood Mac,5,5,1,lookup.era_popularity,41,False,False,True,True,True,True,True,True,True,True,True,True
5b44bff3-76ed-495e-9dc1-0f075e3d178b::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Dreams - 2004 Remaster,Fleetwood Mac,27,33,1,lookup.era_popularity,35,False,False,True,True,True,True,True,False,True,True,True,True
a61b366c-8cf5-48ad-a13f-181c033b9d89::t2,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Pumped Up Kicks,Foster The People,4,3,1,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b.state_features,39,False,False,True,True,True,True,True,True,True,True,True,True
55388720-92b7-4972-9bb2-beb37c33c86b::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Ivy,Frank Ocean,4,5,1,bm25,43,False,False,True,True,True,True,True,True,True,True,True,True
13552d56-f3d8-443a-9272-11ec16c80fa1::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Congratulations,"Quavo, Post Malone",,,38,bm25.state_features,25,False,False,False,True,True,True,True,False,False,False,False,False
737a65cf-9c45-4b1d-910d-2f1f1ef5eab7::t3,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,DARE,Gorillaz,2,2,1,bm25.state_features,41,False,False,True,True,True,True,True,True,True,True,True,True
93199894-d3db-4335-8278-e1be175944e4::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Even Flow,Pearl Jam,1,1,1,bm25,33,False,False,True,True,True,True,True,True,True,True,True,True
a9b423bf-d05c-418d-98af-2a3b1e1d7917::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,It Was A Good Day,Ice Cube,2,1,1,lookup.resolved_artist_discography,45,False,False,True,True,True,True,True,True,True,True,True,True
5080d5a0-336e-4bd1-b5bc-4cc611983429::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Rock with You - Single Version,Michael Jackson,1,1,1,bm25,35,False,False,True,True,True,True,True,True,True,True,True,True
